207533  11.03.2024  25:37  groupB  not_submitted  not_error
237641  13.03.2024  43:14  groupA  submitted  error
217829  12.03.2024  12:28  groupB  submitted  not_error
228451  14.03.2024  35:47  groupA  not_submitted  not_error
219474  11.03.2024  54:19  groupB  submitted  error
238017  14.03.2024  09:33  groupA  submitted  not_error
218268  13.03.2024  18:40  groupB  submitted  error
229794  12.03.2024  31:59  groupA  not_submitted  error
208142  13.03.2024  22:00  groupB  submitted  not_error
239768  15.03.2024  47:56  groupA  not_submitted  error
237671  11.03.2024  38:05  groupB  submitted  not_error
238229  15.03.2024  15:49  groupA  submitted  not_error
229837  13.03.2024  29:21  groupB  not_submitted  not_error
218483  14.03.2024  47:11  groupA  submitted  error
237835  12.03.2024  23:25  groupB  not_submitted  not_error
228704  15.03.2024  20:56  groupA  submitted  error
238077  11.03.2024  14:24  groupB  submitted  not_error
208115  12.03.2024  17:31  groupA  not_submitted  error
217802  14.03.2024  10:47  groupB  submitted  not_error
239377  13.03.2024  36:16  groupA  submitted  error
217954  15.03.2024  55:47  groupB  not_submitted  not_error
228565  11.03.2024  47:12  groupA  submitted  error
219006  13.03.2024  33:00  groupB  submitted  not_error
238372  15.03.2024  28:59  groupA  not_submitted  error
208228  14.03.2024  40:07  groupB  submitted  not_error
228748  12.03.2024  51:43  groupA  submitted  error
219113  14.03.2024  17:05  groupB  not_submitted  not_error
238604  11.03.2024  45:06  groupA  submitted  error
217895  12.03.2024  59:11  groupB  not_submitted  not_error
228950  13.03.2024  38:23  groupA  submitted  not_error
219220  15.03.2024  17:26  groupB  submitted  error
238494  14.03.2024  28:33  groupA  not_submitted  not_error
208341  11.03.2024  37:12  groupB  submitted  error
217959  13.03.2024  33:42  groupA  not_submitted  error
239024  15.03.2024  51:18  groupB  submitted  not_error
218255  12.03.2024  19:24  groupA  submitted  not_error
228927  14.03.2024  44:30  groupB  not_submitted  error
238233  13.03.2024  25:11  groupA  submitted  not_error
217974  11.03.2024  38:53  groupB  submitted  not_error
229340  12.03.2024  36:27  groupA  not_submitted  error
208460  14.03.2024  12:53  groupB  submitted  not_error
239152  15.03.2024  42:32  groupA  submitted  error
218340  11.03.2024  34:48  groupB  not_submitted  error
228880  12.03.2024  19:30  groupA  submitted  not_error
219030  14.03.2024  56:01  groupB  submitted  not_error
238324  13.03.2024  22:16  groupA  not_submitted  error
217844  15.03.2024  47:42  groupB  submitted  not_error
229393  11.03.2024  15:29  groupA  submitted  error
238647  12.03.2024  34:54  groupB  not_submitted  not_error
